¿Cuántas vidas tiene un gato?,7
¿Cuántas lunas tiene Urano?,27
¿A qué edad se celebra el bar-mitzvha?,13
¿Cuál es la capital de Brasil?,Brasilia
¿Cuál fue la primera película de Disney?,Blanca Nieves
¿Cuántos estados hay en la república mexicana?,32
¿Cuál es el platillo favorito de Garfield?,Lasaña
¿Cuál fue el último presidente que vivió en el Castillo de Chapultepec?,Abelardo Rodríguez
¿Quién fue el segundo hombre en pisar la luna?,Edwin Buzz Aldrin
¿Dónde se destruyó el anillo de poder de “El señor de los anillos”?,Monte del destino
